date,iter,weekly_I
2020-03-08,1,1030758.7891865035
2020-03-15,1,1332905.9589628521
2020-03-22,1,1200108.8268124457
2020-03-08,2,908385.0117162911
2020-03-15,2,1374312.437053231
2020-03-22,2,1358783.8378195844
2020-03-08,3,977490.3889518686
2020-03-15,3,1278474.8262559273
2020-03-22,3,1247411.5777087628
2020-03-08,4,944652.4805590942
2020-03-15,4,1479964.9525502955
2020-03-22,4,1336536.1802962031
2020-03-08,5,1052987.822995118
2020-03-15,5,1395663.2129246206
2020-03-22,5,1270644.1937465305
2020-03-08,6,1048392.4243898476
2020-03-15,6,1508752.7234729251
2020-03-22,6,1089551.1175707853
2020-03-08,7,845490.5567655219
2020-03-15,7,1454723.1842055633
2020-03-22,7,1266213.3459269945
2020-03-08,8,945630.2831838842
2020-03-15,8,1337977.0463429017
2020-03-22,8,1248093.839748128
2020-03-08,9,666177.5537246739
2020-03-15,9,1370320.2497626648
2020-03-22,9,1319962.8603086423
2020-03-08,10,777228.2545758315
2020-03-15,10,1427967.1574825905
2020-03-22,10,1266082.7954486108
2020-03-08,11,978058.2995158464
2020-03-15,11,1424375.7301645037
2020-03-22,11,1199787.169255362
2020-03-08,12,904413.5541688399
2020-03-15,12,1427452.519899097
2020-03-22,12,1202839.5500983028
2020-03-08,13,985946.663184719
2020-03-15,13,1362935.3097696477
2020-03-22,13,1152216.0397360756
2020-03-08,14,860952.0022627335
2020-03-15,14,1495484.7233429458
2020-03-22,14,1252901.293555255
2020-03-08,15,935599.0201086275
2020-03-15,15,1482696.5013993166
2020-03-22,15,1246412.400530834
2020-03-08,16,821527.46070517
2020-03-15,16,1307789.5184366277
2020-03-22,16,1330238.0497108435
2020-03-08,17,831662.7570331836
2020-03-15,17,1313557.1311770193
2020-03-22,17,1337654.7534268328
2020-03-08,18,950169.8713601086
2020-03-15,18,1291865.8105264476
2020-03-22,18,1222731.7957550418
2020-03-08,19,931048.5198602105
2020-03-15,19,1351058.342864534
2020-03-22,19,1260005.9380079089
2020-03-08,20,1008157.9920241962
2020-03-15,20,1367583.7166775225
2020-03-22,20,1284514.5518255979
2020-03-08,21,778987.6328347663
2020-03-15,21,1466189.5067492072
2020-03-22,21,1205640.342177792
2020-03-08,22,974662.8516604293
2020-03-15,22,1428738.4268894582
2020-03-22,22,1278865.189221416
2020-03-08,23,804668.4624394972
2020-03-15,23,1235111.3687425565
