replicate,probability
251,1.2069864756716284e-8
252,1.4435122779802871e-8
253,1.3366027847862807e-5
254,1.5031586955107683e-8
255,1.890200239548332e-6
256,9.941102528385684e-5
257,1.0087644548251392e-4
258,1.0344792976634385e-6
259,5.8514061043525204e-5
260,3.106620495051968e-9
261,9.496607482707483e-8
262,1.2086158185020481e-4
263,1.0080912216641208e-4
264,2.9496499903022814e-9
265,4.868450829832756e-9
266,9.947253419687277e-5
267,9.92916813715967e-5
268,4.207019965674586e-9
269,3.628684844734639e-7
270,9.959075766087076e-5
271,9.927108346131187e-5
272,9.937875499591478e-5
273,1.179166111069538e-4
274,9.951507863129215e-5
275,1.1379510927775434e-4
276,9.982177634670053e-5
277,1.0105314495548854e-4
278,9.931847309834238e-5
279,4.0075086143097365e-6
280,3.908672788272081e-9
281,9.927148674799256e-5
282,3.067625213141091e-5
283,1.0643426438850457e-8
284,9.161010942352151e-5
285,9.926331221993872e-5
286,9.939704349554931e-5
287,1.0016760493696936e-4
288,9.949523649239363e-5
289,9.955614249667163e-5
290,1.024527397227258e-4
291,1.0012303370511989e-4
292,9.937415338376791e-5
293,3.724521812080356e-8
294,1.0294329581759817e-4
295,3.289671197242576e-7
296,5.6851722625415185e-9
297,9.937874884844893e-5
298,9.951030825809825e-5
299,9.928368662532987e-5
300,1.3626267509985446e-8
301,3.716283093204912e-8
302,9.95354161545011e-5
303,1.2804943885956086e-6
304,1.1696944169287186e-4
305,2.7779380577136892e-5
306,1.43301973675161e-8
307,9.987032790045289e-5
308,4.309662184128659e-9
309,9.931628494353546e-5
310,1.1801559116127788e-4
311,9.967153496690914e-5
312,9.934081141858268e-5
313,1.0589987825794044e-8
314,1.0733377872977908e-8
315,1.0525338813265478e-4
316,1.1088765765826666e-5
317,9.930274167782372e-5
318,1.0362770346421089e-4
319,1.1512582101411232e-8
320,1.2874605092854889e-7
321,5.7481372447779256e-9
322,1.1558523386352058e-4
323,2.700780598118182e-5
324,1.3077531484927839e-8
325,1.0664181323178635e-8
326,1.40793736742732e-8
327,6.119530245583139e-9
328,4.287073558301145e-9
329,9.994608085646522e-5
330,4.273719666468798e-9
331,1.3114525711189333e-8
332,1.0909246880852411e-4
333,1.0133372625990028e-4
334,2.9199977444399086e-9
335,9.930211979499348e-5
336,1.1990588117765383e-4
337,1.0419773435717691e-4
338,9.988038772783611e-5
339,1.686484289538794e-8
340,1.2163086814582422e-8
341,8.955069991439803e-9
342,9.977883442209443e-5
343,3.6321918289099074e-8
344,2.116068401141066e-5
345,6.722866952701351e-9
346,9.970523912290462e-5
347,5.4485378412414736e-5
348,9.974942535066896e-5
349,6.318665236217345e-5
350,7.378937684873126e-9
351,2.9771720861148236e-6
352,9.930625159112424e-5
353,5.3813560879618814e-9
354,1.7033476085342059e-6
355,1.0667141784602578e-8
356,1.123936006244953e-4
357,9.72661008920911e-9
358,9.926812314798195e-5
359,4.656150119889156e-9
360,1.008222603839277e-4
361,9.92886240731884e-5
362,1.0222487143714857e-4
363,2.9962263094428116e-9
364,1.0090155824698542e-4
365,2.0057752591249833e-8
366,3.6537898889244867e-9
367,9.929999969073412e-5
368,6.046981047771879e-9
369,5.371046685344682e-9
370,2.445774505905609e-5
371,3.01212144280401e-6
372,9.143423138250896e-8
373,3.863307780368557e-9
374,1.00990025820195e-4
375,1.007178776619317e-4
376,1.0804509098321939e-5
377,1.1241610958912654e-4
378,7.962147639245086e-9
379,9.957804112896868e-5
380,1.6195332586981764e-7
381,1.8756429516770754e-5
382,2.3159364761815602e-8
383,5.247452005025225e-9
384,1.4998473914507646e-8
385,9.954838692027738e-5
386,9.92634903147071e-5
387,4.15230354493886e-9
388,5.9940223041436805e-9
389,9.941007090576662e-5
390,1.273007082121764e-8
391,9.970014608079102e-5
392,9.985241115573293e-5
393,1.3139833470843778e-8
394,7.78857697588241e-5
395,1.0029512399566744e-4
396,1.19787367840125e-4
397,1.2882116874846025e-8
398,1.0565719858220695e-4
399,1.2031830787206638e-4
400,9.927171561025513e-5
401,1.4273462515968426e-8
402,9.985487950806823e-5
403,1.3883514206162296e-8
404,8.784424480931476e-9
405,1.2694076983353148e-8
406,3.44546938503282e-9
407,1.0286755704660416e-4
408,3.028706711288499e-9
409,9.927740938808316e-5
410,1.4329937134127844e-8
411,1.4697823949283567e-8
412,8.754855406430344e-5
413,3.2310225633937638e-9
414,3.953749413012405e-9
415,6.98488015237603e-9
416,1.2950166889345964e-5
417,9.942646875288292e-7
418,1.077349905034582e-4
419,6.365336820639747e-9
420,3.6597923624366818e-9
421,7.3894376765062926e-6
422,6.035807865320011e-6
423,2.8261227687164502e-08
424,9.951744588923161e-5
425,1.1220728496585802e-4
426,1.1975405378281368e-4
427,9.929091342987143e-5
428,1.5612928235622843e-8
429,9.848478479171439e-9
430,5.604526519384639e-9
431,8.518118992197485e-9
432,9.932808605597136e-5
433,7.1078251475882e-5
434,5.952265581169882e-7
435,9.940061253597082e-5
436,4.610859311126216e-9
437,4.307743309317429e-9
438,9.927157610018093e-5
439,6.618409035998665e-5
440,1.3497037686954734e-8
441,9.927657057344354e-5
442,1.0045890233419213e-4
443,6.824441922758816e-7
444,1.4919175664359432e-8
445,1.003026074856064e-4
446,5.8975854143315745e-5
447,1.1020776385957615e-4
448,2.0862592747549475e-8
449,9.947527699904042e-5
450,9.931331932381122e-5
451,1.7867958548002462e-8
452,3.4714565380954193e-6
453,1.1915173786455702e-4
454,9.939936945569842e-5
455,9.928650838149184e-5
456,9.933513812279233e-9
457,1.6481181729144826e-8
458,1.4566487966759287e-8
459,6.638666214747314e-8
460,9.927689705396551e-5
461,9.930604171848967e-5
462,3.6543394696047824e-5
463,9.92594183075338e-5
464,1.0630769949797487e-5
465,1.0050758461726658e-4
466,5.434846415520508e-9
467,5.470796486967777e-9
468,9.999170070645431e-5
469,1.3809794876965307e-6
470,7.296804001337609e-9
471,4.6431580531156895e-6
472,1.5225403914620696e-8
473,5.597868220019455e-9
474,8.827870847444358e-5
475,9.942355852726567e-5
476,1.0003679000346533e-4
477,1.5222209847459242e-8
478,1.0618725999320563e-5
479,3.612524058013465e-7
480,6.650326201914839e-9
481,4.924375847633654e-9
482,9.998491178325945e-5
483,7.657888855143804e-9
484,1.2106496305331644e-8
485,6.008502742999829e-8
486,3.821200428451848e-5
487,9.929161472851562e-5
488,9.926441571898033e-5
489,5.750943698854122e-9
490,9.947247604382399e-5
491,9.92556090731357e-5
492,1.4795170061983051e-8
493,1.0704359656872519e-4
494,9.963081361795597e-5
495,7.816917927339453e-5
496,2.4922241790878338e-5
497,2.378040460122993e-5
498,1.6733440954743407e-7
499,3.146351603743804e-9
500,9.928071017139325e-5
501,4.1032964447919007e-7
502,4.851172942343183e-9
503,5.774547345723678e-9
504,6.459056022568144e-9
505,1.0591424641270364e-5
506,1.2234099653854127e-8
507,4.893769574915258e-6
508,7.3359650955801316e-9
509,6.0239175209096445e-9
510,1.7037501283590921e-7
511,3.460921878404063e-9
512,5.838361397183627e-5
513,9.925802500445603e-5
514,5.496499355420191e-9
515,3.4876198393793644e-9
516,1.0048929252723158e-4
517,5.5173566928981096e-9
518,3.2580502995036886e-8
519,1.0984047644248233e-4
520,1.3427564766262519e-8
521,4.039770735467833e-9
522,7.539683909169176e-9
523,1.0707714599067841e-4
524,9.932550454854928e-5
525,2.5528743288784986e-5
526,3.858707275857889e-9
527,2.9766646616887595e-9
528,6.786490355629414e-9
529,9.885629359104891e-9
530,1.2033902088702413e-8
531,8.877261180174654e-5
532,9.925626464016751e-5
533,1.2060753495903006e-4
534,1.017666647241256e-4
535,9.967793279831097e-5
536,9.928888390113789e-5
537,1.1095744348172847e-4
538,9.058768616068192e-5
539,9.946499029751154e-5
540,1.4323340422510471e-8
541,7.176171857282756e-5
542,9.351751828285509e-9
543,5.5281505070984735e-9
544,1.1738014614152499e-4
545,9.976008757421315e-5
546,9.945561523486524e-5
547,3.5271120773459305e-8
548,2.1473019443717306e-5
549,1.2258707390801173e-6
550,4.199012488029798e-9
551,5.73534495501146e-9
552,7.261783079641392e-8
553,9.92562464856601e-5
554,1.2332114535057844e-8
555,1.0050707124476229e-8
556,5.0916771529218495e-5
557,9.926266449928258e-5
558,9.927046271106406e-5
559,4.676422826086204e-9
560,7.164883734022541e-9
561,3.5608600035185315e-8
562,9.988309671387696e-5
563,1.0701126824392437e-4
564,5.552718050786298e-9
565,1.5121348562779955e-8
566,4.901520266913959e-9
567,1.007430429512733e-4
568,7.582598300025423e-9
569,9.9461924842756e-5
570,5.915065629516102e-9
571,9.95697114980496e-5
572,2.6229343548240693e-5
573,9.964630697593064e-5
574,9.948989953415738e-5
575,3.0345050204062245e-9
576,2.60327676033749e-6
577,6.674420786803942e-9
578,1.1981836410403212e-4
579,7.76097756279462e-9
580,5.065260712096373e-9
581,1.1895919763189343e-4
582,2.2650020932486843e-8
583,5.412945704291475e-9
584,9.925611821087442e-5
585,1.4346824364876318e-8
586,1.0031334713114291e-4
587,9.928538441487975e-5
588,7.862903929502574e-6
589,1.7553327350922944e-8
590,3.5609985677280997e-9
591,1.0337988737817973e-7
592,1.0112994602771995e-4
593,6.483184003936524e-9
594,5.2023409729904135e-9
595,3.6131758729419524e-9
596,5.36177229760293e-9
597,3.434604097870552e-5
598,2.5568211487336743e-7
599,2.6947808102774473e-5
600,1.0230124279787017e-4
601,3.601200466856376e-9
602,1.512893934563457e-8
603,9.949195390833158e-5
604,6.019064307619136e-9
605,1.513374667805785e-8
606,2.5552664716719115e-8
607,1.0327767191173936e-4
608,6.050078951845458e-5
609,1.5624649658998975e-8
610,9.933571304306114e-5
611,1.5165063304121877e-8
612,1.1234254018939414e-4
613,1.6274249622121768e-7
614,4.3750464822204665e-8
615,4.049756539237788e-9
616,3.837713096272217e-6
617,9.970870803631888e-5
618,8.049295725143503e-5
619,4.5976746815311114e-8
620,9.926483574093002e-5
621,9.340449558361514e-9
622,9.968533030598232e-5
623,1.7971634456476553e-8
624,9.948398953859021e-5
625,1.0835448115707382e-4
626,7.422626748255675e-9
627,1.015458694416714e-4
628,7.019787090703445e-9
629,5.517437884962879e-5
630,1.3680828858337533e-8
631,5.778790547913368e-9
632,1.0435922188114878e-4
633,1.053671387860521e-4
634,5.0421742188238265e-9
635,1.3072295500322713e-6
636,1.0438362079732132e-4
637,9.926644145564536e-5
638,9.931531849523297e-5
639,4.852340374072788e-9
640,6.079145573471082e-9
641,1.513147290265065e-8
642,1.0955713955528976e-4
643,1.4376774007610827e-8
644,9.931047001168159e-5
645,9.806288643738827e-9
646,1.007712017254797e-4
647,9.926000597828877e-5
648,6.7679550561346985e-9
649,5.804914953528283e-9
650,1.6117254971184525e-8
651,4.891462678247142e-9
652,1.0160760214676446e-8
653,1.0396391029980772e-4
654,1.0173748029985514e-4
655,2.3698839395245043e-8
656,9.928618144977025e-5
657,1.0006332439756e-4
658,4.523341424929815e-8
659,5.847055872363917e-9
660,7.889677146150704e-9
661,1.0015558105693121e-4
662,2.9662265264090676e-9
663,9.926363092089917e-5
664,1.4343314239468029e-8
665,7.710727407462215e-5
666,9.49832627316662e-9
667,1.5217318680044913e-8
668,9.936869165591422e-5
669,9.730124070589957e-5
670,1.2618138486534058e-8
671,5.5550785339554525e-9
672,1.2541125363211951e-7
673,3.2035812495144253e-9
674,4.7064723840832454e-8
675,1.073600273626615e-5
676,3.207433934452549e-5
677,1.1890368294714722e-4
678,9.932983159051909e-5
679,1.0027236933266012e-4
680,1.0319942532570365e-4
681,6.736691568636019e-9
682,3.0873695587985917e-9
683,9.943034174113894e-5
684,1.9901065990291787e-6
685,2.1125960787325268e-8
686,1.7086807725032204e-7
687,1.1650712614051116e-4
688,5.353028703456643e-6
689,9.927184596970852e-5
690,7.4214988519911885e-9
691,9.928871647079489e-5
692,1.549173587992295e-7
693,1.5648437873720794e-8
694,5.034686976065502e-8
695,1.1531607906067654e-4
696,1.728998497124283e-7
697,3.829952742215641e-9
698,9.929627128759157e-5
699,1.2689247562150635e-8
700,1.1208954432409252e-6
701,1.2990189992241018e-8
702,4.81117575803987e-9
703,7.051240985964681e-9
704,6.379372125690226e-9
705,2.5505896428992863e-8
706,9.933307965649034e-5
707,7.631343590350047e-5
708,4.446255109046235e-8
709,1.253532783041503e-8
710,6.36672953283461e-9
711,7.1406689236087194e-09
712,2.432161544031934e-7
713,9.940061904265366e-5
714,3.4002185872487135e-9
715,5.731585349092982e-6
716,2.9914207213271934e-5
717,9.925341794162451e-5
718,9.962144400288132e-5
719,9.683665349153518e-5
720,3.160153411841165e-9
721,9.926998684678501e-5
722,2.267373461307167e-8
723,1.6098270415783635e-8
724,4.7085504341745526e-9
725,1.0285666721097228e-4
726,3.1348289425857425e-9
727,9.940465082007971e-5
728,2.010955933140765e-8
729,1.1342665616497937e-4
730,9.927249214949743e-5
731,6.892748235320684e-9
732,6.439089740480554e-8
733,5.235135540548249e-9
734,9.928586225652053e-5
735,7.222974174300176e-9
736,1.009352885447325e-4
737,1.0455994381631178e-4
738,6.410145785223063e-9
739,9.927581458427413e-5
740,9.929871839916356e-5
741,1.0644346421041814e-4
742,2.091708348395506e-8
743,2.416575993040328e-8
744,9.926292384608102e-5
745,1.0029227970189308e-4
746,1.2003677305536754e-4
747,4.366700407403094e-6
748,6.789012005703835e-9
749,9.933318257556254e-5
750,5.010380576858781e-9
751,7.789466887368001e-6
752,7.43133346088629e-9
753,2.582626372028783e-7
754,9.934186673313601e-5
755,5.520015640563108e-6
756,1.0020869722513308e-4
757,9.22187618973017e-5
758,1.003391946969375e-4
759,1.9549090699299162e-8
760,1.678450362875683e-5
761,4.2288799987561205e-9
762,9.950782339560595e-5
763,1.4320209347901464e-8
764,9.931676528068242e-5
765,9.976395435790682e-5
766,9.954740309978664e-5
767,2.5070152965505256e-8
768,5.71402554406913e-9
769,8.655196537666176e-9
770,5.2847973095726285e-9
771,1.6779148014477944e-6
772,7.110186830577353e-9
773,9.925376079990865e-5
774,9.826856756848752e-9
775,5.5486243689848124e-9
776,1.331685138853781e-5
777,9.92551882113192e-5
778,4.776063411072023e-9
779,9.96195544783008e-5
780,1.3494695373872562e-8
781,5.3612911912871504e-9
782,4.7297108519703945e-8
783,6.673149649838937e-9
784,1.0193893192945124e-4
785,3.2491724164668584e-9
786,9.96755760623093e-5
787,2.3358665362642178e-8
788,1.0069535521765565e-4
789,2.178015887515467e-5
790,9.929945214256232e-5
791,9.971671620914815e-5
792,9.928384456054168e-5
793,1.398599843518113e-8
794,1.0103286947312233e-4
795,5.207021702983274e-7
796,8.729939923318389e-9
797,1.0061495375242991e-4
798,5.030684527150829e-7
799,8.707985271481452e-9
800,5.627538389732409e-5
801,7.194911882105799e-9
802,9.929656103161105e-5
803,2.1096534289896646e-8
804,6.097101129113403e-9
805,1.0236682333810314e-4
806,9.541251261044422e-9
807,1.0703110844201418e-4
808,1.410843639517841e-8
809,1.0498692919108044e-4
810,9.925494870131844e-5
811,5.75859182775279e-5
812,4.5229641948021884e-5
813,1.1067289383715609e-4
814,1.799433505220585e-8
815,1.0338345516646097e-4
816,3.972994651937367e-8
817,4.863738586440491e-9
818,4.22716343526492e-9
819,1.0038966879786712e-4
820,5.797172297084559e-9
821,1.1526890269949799e-4
822,3.5695576291068004e-8
823,5.0430184878544e-9
824,4.8658174557005574e-9
825,6.980631039385043e-9
826,9.926199286879698e-5
827,9.977998978690488e-5
828,1.0158829891085145e-4
829,1.1000682454410971e-4
830,6.7212710003841946e-9
831,3.845515274268788e-9
832,5.721271643498245e-9
833,7.881523708587042e-9
834,3.2069142962981663e-9
835,2.849586290731918e-5
836,4.571326785191655e-8
837,9.933456046016543e-5
838,4.362146381256283e-9
839,1.5203848802410374e-8
840,6.030813851294854e-6
841,1.2814905211090046e-8
842,9.929702862822958e-5
843,9.948075466954543e-5
844,9.609612139295935e-6
845,1.1473660640018058e-4
846,2.207098398503384e-5
847,9.926013562978359e-5
848,1.0502225715596813e-8
849,6.191658618363428e-9
850,1.1856479028554595e-4
851,1.4273972039658998e-8
852,6.643120619614704e-9
853,9.927205731852264e-5
854,1.4548641434302146e-8
855,9.986890207992646e-5
856,9.92560409026005e-5
857,1.0041998995552889e-4
858,4.858145534034696e-9
859,1.0028707825697587e-4
860,1.0059189047810747e-4
861,9.925671432440141e-5
862,1.0427745530581046e-4
863,7.848859464612445e-9
864,9.929508853275324e-5
865,9.93248557450739e-5
866,3.0670675686904285e-5
867,2.490686559210566e-6
868,7.113275191138002e-9
869,8.175150086092578e-9
870,9.935380324986337e-5
871,2.5926590907532624e-5
872,1.247565857648089e-8
873,8.686771943839557e-9
874,9.999616888139729e-5
875,3.1101573195852534e-6
876,9.92906775561049e-5
877,9.948029357859195e-5
878,2.187537384511905e-7
879,3.3055900308819026e-9
880,1.3912960225053313e-8
881,1.0176519702939936e-4
882,1.515886012698515e-8
883,6.1198037497800004e-9
884,1.5146178616323257e-8
885,4.371894941414044e-6
886,2.9506719665598675e-9
887,8.361137960163517e-9
888,5.73469506253413e-9
889,1.2004208371726626e-8
890,1.0888179673540401e-4
891,9.926261558850126e-5
892,9.925709179013292e-5
893,9.934927976696098e-5
894,9.925404873049575e-5
895,1.0516785846181416e-4
896,9.9258576629301e-5
897,2.6067201351323626e-8
898,9.926457807490656e-5
899,9.926670000541946e-5
900,9.95829296716993e-5
901,6.5756004740317645e-9
902,3.26843136206377e-9
903,1.0022599700377119e-4
904,9.970898202348591e-5
905,1.0039906741611754e-4
906,9.927367008658658e-5
907,9.926311622525331e-5
908,9.958377602558304e-5
909,9.928945891925667e-5
910,9.926936826046834e-5
911,6.060956279644183e-6
912,3.0601354457254953e-9
913,4.8847161818011606e-9
914,9.931758578133972e-5
915,9.925636367457537e-5
916,1.9340097209120132e-5
917,9.946110414015547e-5
918,6.324605091732007e-9
919,4.951612727599541e-9
920,9.313128392390794e-9
921,1.0156595407254725e-4
922,1.550643558248534e-8
923,1.644474210750402e-8
924,9.928803355933622e-5
925,4.135068310376763e-9
926,7.20612586374667e-9
927,6.580036170654941e-9
928,1.1569099671293137e-4
929,5.7728136696512965e-8
930,8.996363251851558e-5
931,1.4887729617983916e-8
932,9.522499887984007e-9
933,1.0065570884787016e-4
934,1.0241288375228176e-4
935,4.561099247118536e-9
936,5.398749315982054e-9
937,1.3705467824781242e-8
938,1.6290260681294813e-5
939,9.292254710746242e-9
940,9.972034050764198e-5
941,9.956451765198398e-5
942,7.376587653838301e-9
943,9.932070806447277e-5
944,1.1644304759474283e-4
945,1.210153218137245e-6
946,1.6710893109549407e-5
947,8.01715524466692e-9
948,4.4146707086537975e-9
949,1.563729811358777e-8
950,3.963045763348582e-9
951,9.925673481494088e-5
952,9.94231028268465e-5
953,8.508171078416632e-9
954,4.532651007129554e-9
955,1.3024913329666104e-8
956,1.0828593866081846e-4
957,9.673683711854384e-9
958,1.010561188806505e-4
959,7.193949824485994e-7
960,9.927814322621268e-5
961,1.0197318791435073e-4
962,9.08599948027823e-5
963,9.925567241542806e-5
964,2.548951790204472e-8
965,1.0179208483088098e-4
966,1.0130461155361877e-4
967,6.0141063712732985e-5
968,1.4867965156840816e-8
969,2.337252019868495e-8
970,4.570485264195625e-9
971,1.525386491100322e-8
972,1.7246447260534434e-7
973,1.1711859602862909e-4
974,1.6093851048642803e-8
975,9.961997742103184e-5
976,9.927289095885828e-5
977,9.927796926479475e-5
978,7.942603223149236e-9
979,5.847696150133871e-9
980,4.837453926776809e-9
981,9.945735033042731e-5
982,9.982304014347075e-5
983,3.1957614998966845e-8
984,9.006028495828847e-5
985,9.950142551134981e-5
986,2.012820965168011e-7
987,1.4235133306990946e-7
988,1.123703345088508e-4
989,1.592648806088556e-8
990,4.6111404130337675e-06
991,9.939716550827918e-5
992,2.6987881090320154e-5
993,1.4478499573769687e-8
994,1.0117388508331544e-4
995,9.949699777947234e-5
996,2.9963811214959172e-9
997,1.0161506512394344e-8
998,9.998183438160097e-5
999,0.00010006123891157376
1000,1.0129190420872e-4
1001,1.119785748004913e-5
1002,6.0079249579284435e-09
1003,1.0706695142183363e-4
1004,7.121090587838089e-9
1005,9.929072484164549e-5
1006,9.925800688669135e-5
1007,2.2303440091130798e-7
1008,2.2657297853113345e-8
1009,1.5691887906228983e-8
1010,2.8259591620042006e-8
1011,1.2171646592280384e-8
1012,1.4066511919723214e-5
1013,9.925437879039094e-5
1014,1.3995517297511179e-8
1015,6.9087062760873815e-6
1016,1.5204743427054163e-8
1017,8.39181223507679e-9
1018,1.0012963837006341e-4
1019,9.933509319918667e-5
1020,1.0169625808919446e-4
1021,9.926374558938257e-5
1022,3.3110342152892226e-9
1023,1.0046423060605176e-4
1024,3.5626314511325267e-9
1025,1.0009901719728925e-4
1026,5.498185284587673e-9
1027,1.112969160056439e-5
1028,1.0281750787447106e-4
1029,1.1481343599394376e-4
1030,7.248801829544711e-9
1031,3.8378520720698494e-7
1032,1.688914327914294e-7
1033,1.1691668769563057e-4
1034,1.9799126623208023e-8
1035,1.9314978248182607e-8
1036,9.969122226687215e-5
1037,1.0112425307977524e-4
1038,5.324032693506137e-5
